uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,white,black,hispanic,asian,american_indian_alaska_native,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,party,gfi,state_pop
1,80480000707,Columbine High School,804800,Jefferson County R-1,4/20/1999,1998-1999,1999,11:19 AM,Tuesday,Littleton,Colorado,public,1965,13,21,34,indiscriminate,18,m,w,student,1,suicide,1783,16,112,42,12,1,"12-gauge Savage-Springfield 67H pump-action shotgun, Hi-Point 995 Carbine 9 mm carbine, 9×19mm Intratec TEC-9 semi-automatic handgun, 12-gauge Stevens 311D double-barreled sawed-off shotgun",purchased from friends,39.60391,-105.075,89.6,9,12,41,Jefferson County,8,8059,21,dem,39,5961083
2,2.20E+11,Scotlandville Middle School,2200540,East Baton Rouge Parish School Board,4/22/1999,1998-1999,1999,12:30 PM,Thursday,Baton Rouge,Louisiana,public,588,0,1,1,targeted,14,m,unknown,former student (expelled),0,unknown,5,583,0,0,0,0,.22 caliber pistol,unknown,30.529958,-91.169966,39,6,8,495,East Baton Rouge Parish,22,22033,12,rep,34,4616106
3,1.30E+11,Heritage High School,1304410,Rockdale County,5/20/1999,1998-1999,1999,8:03 AM,Thursday,Conyers,Georgia,public,1369,0,6,6,indiscriminate,15,m,w,student,0,unknown,1189,136,28,15,1,1,".22 caliber rifle, 357-caliber Magnum handgun",unknown,33.626922,-84.04796,84,9,12,125,Rockdale County,13,13247,21,dem,23,10830007
4,4.22E+11,John Bartram High School,4218990,Philadelphia City SD,10/4/1999,1999-2000,1999,10:00 AM,Monday,Philadelphia,Pennsylvania ,public,3147,0,1,1,targeted,17,m,unknown,student,0,unknown,209,2736,27,170,5,1,RG .25-caliber pistol,purchased from friend,39.921509,-75.234108,41,9,12,2007,Philadelphia County,42,42101,11,dem ,28,12804123
5,2.50E+11,Dorchester High School,2502790,Boston,11/3/1999,1999-2000,1999,7:40 AM,Wednesday,Boston,Massachusetts,public,1116,0,1,1,targeted,0,m,unknown,unknown,0,unknown,40,755,287,29,5,0,unknown,unknown,42.285268,-71.075901,0,9,12,543,Suffolk County,25,25025,11,dem,49,6922107
6,3.50E+11,Deming Middle School,3500690,Deming Public Schools,11/19/1999,1999-2000,1999,12:45 PM,Friday,Deming,New Mexico,public,753,1,0,1,accidental or targeted,12,m,h,student,0,unknown,160,6,583,2,2,0,.22-caliber Colt revolver ,home,32.261547,-107.762986,44,6,7,502,Luna County,35,35029,33,dem,21,2109093
7,4.01E+11,Fort Gibson Middle School,4011970,Fort Gibson,12/6/1999,1999-2000,1999,7:45 AM,Monday,Fort Gibson,Oklahoma,public,407,0,5,5,indiscriminate,13,m,ai,student,0,unknown,239,3,12,0,153,0,Taurus 9mm pistol,father,35.795556,-95.241921,25.4,6,8,146,Muskogee County,40,40101,32,rep,6,4007179
8,1.20E+11,Ridgewood High School,1201530,Pasco,1/19/2000,1999-2000,2000,3:00 PM,Wednesday,New Port Richey,Florida,public,1852,1,0,1,accidental,16,m,w,student,0,unknown,1697,28,96,26,5,1,.22-caliber Magnum handgun,stolen,28.273253,-82.687231,85,9,12,654,Pasco County,12,12101,21,rep,30,21944577
9,62460009581,Alicia Reyes Elementary School,624600,Merced City Elementary,1/26/2000,1999-2000,2000,8:34 AM,Wednesday,Merced,California,public,734,0,0,0,targeted,13,m,unknown,no connection,0,unknown,82,40,389,222,1,0,.22 caliber revolver,unknown,37.286387,-120.494808,36,KG,5,643,Merced County,6,6047,13,dem,48,39613493
10,1.71E+11,Duke Ellington Elementary School,1709930,City of Chicago School District 299,2/14/2000,1999-2000,2000,unknown,Monday,Chicago,Illinois,public,736,0,1,1,accidental,11,m,unknown,student,0,unknown,0,736,0,0,0,0,unknown,unknown,41.885272,-87.766042,37,PK,6,,Cook County,17,17031,11,dem,29,12569321
11,2.80E+11,Horn Lake High School,2801320,Desoto County School District,2/22/2000,1999-2000,2000,unknown,Tuesday,Horn Lake,Mississippi,public,1197,0,0,0,targeted,0,m,unknown,unknown,0,unknown,991,166,25,14,1,0,handgun,unknown,34.948919,-90.035423,65,9,12,324,DeSoto County,28,28033,21,rep,18,2961536
12,4.03E+11,Tecumseh High School,4029610,Tecumseh,2/24/2000,1999-2000,2000,9:00 AM,Thursday,Tecumseh,Oklahoma,public,711,0,0,0,targeted,19,m,unknown,former boyfriend of student,0,unknown,527,8,12,2,162,0,unknown,unknown,35.255494,-96.943184,45.5,9,12,184,Pottawatomie County,40,40125,32,rep,6,4007179
13,2.60E+11,Buell Elementary School,2604500,Beecher Community School District,2/29/2000,1999-2000,2000,10:00 AM,Tuesday,Mount Morris Township,Michigan,public,459,1,0,1,targeted,6,m,b,student,0,unknown,125,261,37,0,1,0,.32-caliber semiautomatic handgun,"uncle's friend, found in open shoebox",43.079604,-83.706037,20,KG,4,421,Genesee County,26,26049,21,dem,20,9992427
14,4.02E+11,Hugo High School,4015210,Hugo,4/6/2000,1999-2000,2000,12:00 PM,Thursday,Hugo,Oklahoma,public,499,0,1,1,targeted,33,f,unknown,parent of student,0,unknown,263,117,11,1,107,1,small-caliber pistol,legally purchased by shooter,34.010732,-95.511435,34.7,9,12,236,Choctaw County,40,40023,33,rep,6,4007179
15,40146000077,Carmichael Elementary School,401460,Sierra Vista Unified District,5/10/2000,1999-2000,2000,1:30 PM,Wednesday,Sierra Vista,Arizona,public,397,1,0,1,targeted,39,m,unknown,spouse of teacher,1,suicide,178,51,154,8,6,0,unknown,unknown,31.56269,-110.29924,24.5,KG,5,,Cochise County,4,4003,13,dem,2,7640796
16,1.20E+11,Lake Worth Middle School,1201500,Palm Beach County School District,5/26/2000,1999-2000,2000,3:00 PM,Friday,Lake Worth,Florida,public,1525,1,0,1,targeted,13,m,b,student,0,unknown,414,560,528,17,6,0,.25-caliber handgun,grandfather,26.451351,-80.085968,95,6,8,1186,Palm Beach County,12,12099,21,rep,30,21944577
17,5.31E+11,Dimmitt Middle School,5307230,Renton,7/17/2000,1999-2000,2000,10:30 AM,Monday,Renton,Washington,public,956,0,0,0,indiscriminate,13,m,w,student in summer school,0,unknown,276,375,73,218,14,0,.22-caliber handgun,grandparents,47.493015,-122.233115,42.3,6,8,,King County,53,53033,21,dem,42,7887965
18,3.90E+11,Mount Healthy North Junior High,3904441,Mount Healthy City SD,9/18/2000,2000-2001,2000,unknown,Monday,Mount Healthy,Ohio,public,341,0,0,0,indiscriminate,14,m,unknown,student,0,unknown,149,192,0,0,0,1,.380-caliber semiautomatic handgun,relatives,39.251506,-84.555558,22.8,7,8,163,Hamilton County,39,39061,21,rep,31,11714618
19,2.20E+11,Carter G. Woodson Middle School,2201170,Orleans Parish School Board,9/26/2000,2000-2001,2000,12:00 PM,Tuesday,New Orleans,Louisiana,public,686,0,1,1,targeted,13,m,unknown,student,0,unknown,0,685,1,0,0,0,.38-caliber revolver,unknown,29.939676,-90.090046,45,6,8,551,Orleans Parish,22,22071,11,rep,34,4616106
20,62927004519,Hueneme High School,629270,Oxnard Union High,1/10/2001,2000-2001,2001,12:50 PM,Wednesday,Oxnard,California,public,2764,0,0,0,targeted,17,m,h,not a student but often hung around the school,1,killed by police,311,124,2145,134,50,1,handgun,unknown,34.160149,-119.1822,110.2,9,12,1169,Ventura County,6,6111,12,dem,48,39613493
21,2.40E+11,Lake Clifton Eastern High School,2400090,Baltimore City Public Schools,1/17/2001,2000-2001,2001,8:45 AM,Wednesday,Baltimore,Maryland,public,2236,1,0,1,targeted,19,m,unknown,none,0,unknown,24,2205,2,4,1,0,.32-caliber handgun,unknown,39.316116,-76.590038,126.5,PK,12,914,Baltimore City,24,24510,11,dem,43,6075314
22,4.82E+11,Pearl C. Anderson Middle School,4816230,Dallas ISD,2/6/2001,2000-2001,2001,unknown,Tuesday,Dallas,Texas,public,879,0,1,1,targeted,14,m,unknown,student (suspended),0,unknown,3,793,82,0,1,1,small revolver,unknown,32.759323,-96.744389,89.3,7,8,607,Dallas County,48,48113,11,rep,10,29730311
23,61623002026,Santana High School,616230,Grossmont Union High,3/5/2001,2000-2001,2001,9:20 AM,Monday,Santee,California,public,1894,2,13,15,indiscriminate,15,m,w,student,0,unknown,1591,24,174,58,8,1,.22-caliber revolver,father,32.85756,-116.971045,79.9,9,12,202,San Diego County,6,6073,21,dem,48,39613493
24,1195358,Bishop Neumann Junior-Senior High,,,3/7/2001,2000-2001,2001,12:00 PM,Wednesday,Williamsport,Pennsylvania,private,227,0,1,1,targeted,14,f,w,student,0,unknown,208,10,5,4,0,0,.22-caliber revolver,father,41.249266,-76.996564,21.125,7,12,,Lycoming County,42,42081,13,dem,28,12804123
25,61623002020,Granite Hills High School,616230,Grossmont Union High,3/22/2001,2000-2001,2001,1:00 PM,Thursday,El Cajon,California,public,2846,0,5,5,targeted and indiscriminate,18,m,unknown,student,0,unknown,2256,67,376,66,50,1,Mossberg pump-action 12-gauge shotgun,unknown,32.800101,-116.916889,112.2,9,12,436,San Diego County,6,6073,21,dem,48,39613493
26,1.80E+11,Lew Wallace High School,1803870,Gary Community School Corp,3/30/2001,2000-2001,2001,8:15 AM,Friday,Gary,Indiana,public,1179,1,0,1,targeted,17,m,unknown,former student (expelled),0,unknown,2,1135,39,3,0,1,pistol,unknown,41.536645,-87.34132,64,9,12,446,Lake County,18,18089,13,rep,22,6842385
27,2.20E+11,Monroe City Alternative Center,2201080,City of Monroe School Board,4/20/2001,2000-2001,2001,7:20 AM,Friday,Monroe,Louisiana,public,65,0,0,0,targeted,14,m,unknown,student,0,unknown,,,,,,0,.380 caliber semi-automatic pistol,unknown,32.524187,-92.070624,0,0,0,,Ouachita Parish,22,22073,13,rep,34,4616106
28,4.82E+11,Ennis High School,4818540,Ennis ISD,5/15/2001,2000-2001,2001,12:00 PM,Tuesday,Ennis,Texas,public,1279,0,0,0,hostage suicide,16,m,unknown,student,1,suicide,692,202,383,2,0,0,.357 Magnum pistol,unknown,32.305062,-96.629758,93.7,9,12,447,Ellis County,48,48139,41,rep,10,29730311
29,62271007751,Belmont High School,622710,Los Angeles Unified,7/30/2001,2000-2001,2001,7:20 AM,Monday,Los Angeles,California,public,5264,0,1,1,targeted,0,m,unknown,unknown,0,unknown,27,98,4679,456,4,1,revolver,unknown,34.061499,-118.263286,194.3,9,12,4046,Los Angeles County,6,6037,11,dem,48,39613493
30,2.10E+11,Latonia Elementary School,2101350,Covington Independent,9/12/2001,2001-2002,2001,3:00 PM,Wednesday,Covington,Kentucky,public,526,1,0,1,targeted,30,f,w,parent of student,0,unknown,441,81,0,1,3,0,.380-caliber semiautomatic pistol,unknown,39.044149,-84.49833,16.8,KG,5,350,Kenton County,21,21117,21,rep,7,4487233
31,60003206330,Redondo Union High School,600032,Redondo Beach Unified,10/26/2001,2001-2002,2001,10:00 AM,Friday,Redondo Beach,California,public,2069,0,1,1,accidental,16,m,unknown,student,0,unknown,1199,121,518,216,15,0,.38-caliber handgun,unknown,33.844274,-118.384456,94.4,9,12,465,Los Angeles County,6,6037,21,dem,48,39613493
32,2.61E+11,Caro Learning Center,2608040,Caro Community Schools,11/12/2001,2001-2002,2001,2:40 PM,Monday,Caro,Michigan,public,151,0,0,0,targeted,17,m,unknown,student,1,suicide,126,2,23,0,0,0,20-guage shotgun,legally purchased by shooter,43.458011,-83.438553,0,9,12,6,Tuscola County,26,26157,32,dem,20,9992427
33,3.62E+11,"Martin Luther King, Jr. High School",3620580,New York City Public Schools,1/15/2002,2001-2002,2002,2:00 PM,Tuesday,New York City,New York,public,2258,0,2,2,targeted,17,m,unknown,student,0,unknown,49,1223,949,29,8,0,Lorcin .380-caliber semiautomatic pistol,illegally purchased,40.774262,-73.985021,97.7,9,12,1831,New York County,36,36061,11,dem,50,19299981
34,62271003034,Gardena High School,622710,Los Angeles Unified,2/6/2002,2001-2002,2002,2:50 PM,Wednesday,Los Angeles,California,public,3198,0,2,2,targeted,17,m,unknown,student,0,unknown,77,1381,1492,244,4,0,pistol,unknown,33.866342,-118.296704,133.2,9,12,1941,Los Angeles County,6,6037,11,dem,48,39613493
35,2.40E+11,Benjamin Tasker Middle School,2400510,Prince George's County Public Schools,10/7/2002,2002-2003,2002,8:09 AM,Monday,Bowie,Maryland,public,1371,0,1,1,indiscriminate,0,m,b,none,0,unknown,562,706,47,52,4,0,Bushmaster XM-15 rifle,stolen,38.957407,-76.746341,73.7,7,8,197,Prince George's County,24,24033,21,dem,43,6075314
36,3.41E+11,Lincoln High School,3407830,Jersey City,10/29/2002,2002-2003,2002,8:30 AM,Tuesday,Jersey City,New Jersey,public,986,0,1,1,targeted,15,m,unknown,student,0,unknown,9,722,208,43,4,1,Browning .380-caliber pistol,unknown,40.716783,-74.070502,102,9,12,495,Hudson County,34,34017,11,dem,47,8870685
37,753892,St. James Catholic School,,,11/7/2002,2002-2003,2002,12:30 PM,Thursday,Liberty,Missouri,private,297,1,1,2,targeted,41,m,unknown,parent of student,0,unknown,287,4,5,1,0,0,revolver,legally purchased by shooter,39.240746,-94.45515,0,KG,8,,Clay County,29,29047,21,rep,9,6184843
38,4.40E+11,Mount Pleasant High School,4400900,Providence School District,1/22/2003,2002-2003,2003,unknown,Wednesday,Providence,Rhode Island,public,1641,0,0,0,targeted,0,m,unknown,student,0,unknown,247,396,831,155,12,0,22-caliber semi-automatic,unknown,41.837981,-71.45125,0,9,12,1097,Providence County,44,44007,12,dem,44,1062583
39,80723001239,Ranum High School,807230,Westminster 50,2/5/2003,2002-2003,2003,8:40 AM,Wednesday,Westminster,Colorado,public,1434,0,0,0,targeted,14,m,unknown,student,0,unknown,539,18,748,112,17,1,small semi-automatic handgun,unknown,39.841774,-105.015495,68,9,12,524,Adams County,8,8001,21,dem,39,5961083
40,1.10E+11,Cardozo High School,1100030,District Of Columbia Pub Schls,4/1/2003,2002-2003,2003,12:15 PM,Tuesday,Washington,District of Columbia,public,749,0,1,1,targeted,15,m,unknown,student,0,unknown,6,530,183,28,2,1,handgun,unknown,38.922338,-77.029756,0,9,12,427,District of Columbia,11,11001,11,dem,51,718355
41,2.20E+11,John McDonogh High School,2201170,Orleans Parish School Board,4/14/2003,2002-2003,2003,10:30 AM,Monday,New Orleans,Louisiana,public,1260,1,3,4,targeted,19,m,unknown,none,0,unknown,10,1241,9,0,0,1,AK-47 and semiautomatic pistol,unknown,29.974421,-90.075733,63,8,12,843,Orleans Parish,22,22071,11,rep,34,4616106
42,60003907541,Delhi Middle School,600039,Delhi Unified,4/15/2003,2002-2003,2003,8:15 AM,Tuesday,Delhi,California,public,394,0,1,1,targeted,0,m,unknown,unknown,0,unknown,101,7,273,13,0,0,handgun,unknown,37.426801,-120.792392,18,6,8,270,Merced County,6,6047,23,dem,48,39613493
43,4.22E+11,Red Lion Area Junior High School,4220100,Red Lion Area SD,4/24/2003,2002-2003,2003,7:30 AM,Thursday,Red Lion,Pennsylvania,public,965,1,0,1,targeted,14,m,w,student,1,suicide,949,6,5,5,0,1,".44-caliber handgun, .22-caliber gun to kill himself",stepfather,39.893809,-76.609728,46,7,8,156,York County,42,42133,22,dem,28,12804123
44,2.80E+11,Vicksburg High School,2804470,Vicksburg Warren School Dist,9/10/2003,2003-2004,2003,2:30 PM,Wednesday,Vicksburg,Mississippi,public,1121,1,0,1,targeted,20,m,unknown,unknown,0,unknown,388,719,9,5,0,0,handgun,unknown,32.323263,-90.885251,63.8,9,12,540,Warren County,28,28149,32,rep,18,2961536
45,5.31E+11,Lewis and Clark High School,5308250,Spokane School District,9/22/2003,2003-2004,2003,11:10 AM,Monday,Spokane,Washington,public,1992,0,0,0,indiscriminate,16,m,w,student,0,unknown,1701,116,64,71,40,0,9 millimeter semiautomatic pistol,home,47.652394,-117.419841,92,9,12,545,Spokane County,53,53063,12,dem,42,7887965
46,2.71E+11,Rocori High School,2709440,Rocori,9/24/2003,2003-2004,2003,11:38 AM,Wednesday,Cold Spring,Minnesota,public,831,2,0,2,targeted,15,m,w,student,0,unknown,813,3,8,7,0,0,.22 caliber pistol,father,45.466258,-94.426618,48,8,12,100,Stearns County,27,27145,31,dem,33,5739781
47,3.70E+11,Burns Middle School,3700900,Cleveland County Schools,9/25/2003,2003-2004,2003,8:00 AM,Thursday,Lawndale,North Carolina,public,1049,0,0,0,indiscriminate,13,m,unknown,student,0,unknown,786,240,20,3,0,1,9mm handgun,unknown,35.425762,-81.539104,63,6,8,510,Cleveland County,37,37045,31,rep,32,10701022
48,61233007702,Rio Cazadero High School,612330,Elk Grove Unified,10/1/2003,2003-2004,2003,9:00 AM,Wednesday,Sacramento,California,public,317,0,2,2,targeted,0,m,unknown,multiple officers,0,unknown,27,105,91,88,5,0,officer weapons,police,38.469639,-121.435306,10.8,9,12,99,Sacramento County,6,6067,21,dem,48,39613493
217,3.70E+11,East Mecklenburg High School,3702970,Charlotte-Mecklenburg Schools,11/13/2003,2003-2004,2003,11:45 AM,Thursday,Charlotte,North Carolina,public,2275,0,1,1,accidental,15,m,unknown,student,0,unknown,997,990,198,82,8,1,.25-caliber handgun,unknown,35.175976,-80.756579,113,9,12,709,Mecklenburg County,37,37119,11,rep,32,10701022
49,1.10E+11,Ballou High School,1100030,District Of Columbia Pub Schls,2/2/2004,2003-2004,2004,10:30 AM,Monday,Washington,District of Columbia,public,1090,1,1,2,targeted,18,m,b,student,0,unknown,0,1084,2,2,2,1,.380-caliber pistol,puchased by shooter and friends,38.839005,-77.001667,68,9,12,897,District of Columbia,11,11001,11,dem,51,718355
50,3.61E+11,Columbia High School,3609630,East Greenbush Central School District,2/9/2004,2003-2004,2004,10:30 AM,Monday,East Greenbush,New York,public,1455,0,1,1,indiscriminate,16,m,w,student,0,unknown,1390,28,6,31,0,0,12-gauge Winchester shotgun,unknown,42.62068,-73.690848,0,9,12,,RENSSELAER,36,36083,21,dem,50,19299981
51,4.22E+11,T.M. Peirce Elementary School,4218990,Philadelphia City SD,2/11/2004,2003-2004,2004,8:30 AM,Wednesday,Philadelphia,Pennsylvania,public,453,1,1,2,targeted,19,m,b,none,0,unknown,2,445,4,2,0,1,"carbine rifle, assault weapon",unknown,39.998621,-75.168248,26,KG,5,450,Philadelphia County,42,42101,11,dem,28,12804123
52,62805012992,Castlemont High School,628050,Oakland Unified,6/9/2004,2003-2004,2004,12:22 PM,Wednesday,Oakland,California,public,1467,0,2,2,targeted,0,,unknown,unknown,0,unknown,9,736,631,83,1,0,unknown,unknown,37.75982,-122.16302,56.5,9,12,340,Alameda County,6,6001,11,dem,48,39613493
53,1.73E+11,Proviso East High School,1732910,Proviso Twp H S Dist 209,8/30/2004,2004-2005,2004,2:30 PM,Monday,Maywood,Illinois,public,2068,1,0,1,targeted,0,m,b,none,0,unknown,44,1506,497,9,10,1,handgun,unknown,41.88062,-87.83382,110,9,12,637,Cook County,17,17031,21,dem,29,12569321
54,1.80E+11,Wirt High School,1803870,Gary Community School Corp,9/15/2004,2004-2005,2004,unknown,Wednesday,Gary,Indiana,public,792,0,0,0,indiscriminate,0,m,unknown,student,0,unknown,10,769,11,2,0,0,handgun,unknown,41.60997,-87.26145,49.7,9,12,394,Lake County,18,18089,13,rep,22,6842385
55,2.40E+11,Thurgood Marshall High School,2400090,Baltimore City,10/21/2004,2004-2005,2004,4:00 PM,Thursday,Baltimore,Maryland,public,502,0,2,2,targeted,16,m,unknown,student,0,unknown,6,493,2,0,1,1,handgun,unknown,39.31911,-76.54552,22,9,11,296,Baltimore City,24,24510,11,dem,43,6075314
56,2.20E+11,Booker T. Washington High School,2201170,Orleans Parish,11/12/2004,2004-2005,2004,12:00 PM,Friday,New Orleans,Louisiana,public,383,0,1,1,targeted,28,f,unknown,security guard,0,unknown,2,381,0,0,0,1,.38-caliber revolver,department issued,29.94966,-90.08893,36.8,8,12,308,Orleans Parish,22,22071,11,rep,34,4616106
57,A9902648,Emmanuel Christian Academy,,,12/7/2004,2004-2005,2004,3:00 PM,Tuesday,Jackson,Mississippi,private,128,0,1,1,accidental,28,f,unknown,unknown,0,unknown,0,128,0,0,0,0,.22 caliber handgun,unknown,32.288835,-90.196049,11,PK,8,,Hinds County,28,28049,12,rep,18,2961536
58,1.73E+11,Woodruff High School,1731230,Peoria School District 150,1/26/2005,2004-2005,2005,unknown,Wednesday,Peoria,Illinois,public,1012,0,0,0,targeted,15,m,b,student,0,unknown,336,602,60,14,0,0,handgun,unknown,40.70725,-89.57513,65,9,12,606,Peoria County,17,17143,12,dem,29,12569321
59,1.71E+11,Bowen High School,1709930,City Of Chicago School Dist 299,2/8/2005,2004-2005,2005,2:32 PM,Tuesday,Chicago,Illinois,public,215,0,1,1,targeted,0,,unknown,unknown,0,unknown,2,167,46,0,0,0,unknown,unknown,41.73354,-87.557742,45.7,11,12,212,Cook County,17,17031,11,dem,29,12569321
60,4.70E+11,Maplewood Comprehensive High School,4703180,Nashville-Davidson County SD,3/9/2005,2004-2005,2005,2:00 PM,Wednesday,Nashville,Tennessee,public,1119,0,1,1,targeted,16,m,unknown,former student (expelled),0,unknown,219,868,21,11,0,0,handgun,unknown,36.22912,-86.74568,63,9,12,,Davidson County,47,47037,11,rep,16,7001803
61,2.73E+11,Red Lake High School,2730510,Red Lake,3/21/2005,2004-2005,2005,2:49 PM,Monday,Red Lake,Minnesota,public,331,7,7,14,indiscriminate,16,m,ai,former student,1,suicide,0,0,0,0,331,1," .40 caliber Glock 23 pistol, 870 12 gauge pump-action shotgun",grandfather,47.8509,-95.0629,31.1,9,12,295,Beltrami County,27,27007,43,dem,33,5739781
62,4.81E+11,Canton High School,4812750,Canton ISD,4/7/2005,2004-2005,2005,9:20 AM,Thursday,Canton,Texas,public,533,0,1,1,targeted,45,m,w,father of football player,0,unknown,484,16,29,1,3,0,.45-caliber pistol,legally purchased by shooter,32.54958,-95.86617,39.4,9,12,79,Van Zandt County,48,48467,32,rep,10,29730311
63,4.23E+11,Highland Elementary School,4225830,West Shore SD,5/17/2005,2004-2005,2005,3:00 PM,Tuesday,Lower Allen Township,Pennsylvania,public,445,1,0,1,targeted,47,m,unknown,dating mother of student,1,suicide,403,23,10,9,0,0,9 mm semiautomatic handgun,unknown,40.21999,-76.95256,24.2,KG,5,35,Cumberland County,42,42041,21,dem,28,12804123
64,4.70E+11,Maury Middle School,4702100,Jefferson County School District,8/25/2005,2005-2006,2005,9:30 AM,Thursday,Jacksboro,Tennessee,public,609,0,1,1,accidental,14,m,unknown,student,0,unknown,594,9,4,2,0,0,".38-caliber Smith & Wesson, .22-caliber handgun",guardian (uncle),36.0213,-83.4041,34.7,6,8,314,Jefferson County,47,47089,41,rep,16,7001803
65,1.20E+11,Sojourner Truth High School,1200480,Duval County School District,9/2/2005,2005-2006,2005,12:50 PM,Friday,Jacksonville,Florida,public,123,0,1,1,targeted,0,m,unknown,unknown,0,unknown,9,110,4,0,0,0,handgun,unknown,30.27037,-81.61618,7,9,12,62,Duval County,12,12031,11,rep,30,21944577
66,1.71E+11,Harlan Community Academy High School,1709930,City Of Chicago Sd 299,9/13/2005,2005-2006,2005,2:20 PM,Tuesday,Chicago,Illinois,public,1381,0,1,1,targeted,15,m,unknown,student,0,unknown,0,1381,0,0,0,1,.25-caliber handgun,unknown,41.7184,-87.62085,101.6,7,12,959,Cook County,17,17031,11,dem,29,12569321
67,2.91E+11,Farmington High School,2911910,Farmington R-VII,10/11/2005,2005-2006,2005,8:00 AM,Tuesday,Farmington,Missouri,public,1160,0,0,0,indiscriminate,17,m,w,student,0,unknown,1126,18,7,8,1,0,single-shot shotgun,father,37.78108,-90.43619,68.6,9,12,344,St. Francois County,29,29187,32,rep,9,6184843
68,2.63E+11,Saginaw High School,2630390,Saginaw City School District,10/20/2005,2005-2006,2005,12:00 PM,Thursday,Saginaw,Michigan,public,1178,0,1,1,targeted,15,m,unknown,student,0,unknown,16,1128,34,0,0,1,.380-caliber handgun,stolen,43.40713,-83.92541,58,9,12,823,Saginaw County,26,26145,13,dem,20,9992427
69,4.70E+11,Campbell County High School,4700420,Campbell County School Distrct,11/8/2005,2005-2006,2005,2:00 PM,Tuesday,Jacksboro,Tennessee,public,1440,1,2,3,targeted and indiscriminate,15,m,w,student,0,unknown,1429,0,6,5,0,0,.22-caliber pistol ,unknown,36.35086,-84.14832,79.4,9,12,851,Campbell County,47,47013,32,rep,16,7001803
70,2.61E+11,Central High School,2612000,Detroit City School District,12/6/2005,2005-2006,2005,1:30 PM,Tuesday,Detroit,Michigan,public,1205,0,1,1,indiscriminate,18,m,unknown,unknown,0,unknown,5,1194,0,1,5,0,unknown,unknown,42.38469,-83.11269,55.2,8,12,897,Wayne County,26,26163,11,dem,20,9992427
71,5.51E+11,Mary McLeod Bethune Academy,5509600,Milwaukee Sch Dist,1/11/2006,2005-2006,2006,12:30 PM,Wednesday,Milwaukee,Wisconsin,public,366,0,1,1,indiscriminate,18,m,unknown,unknown,0,unknown,14,311,4,35,2,0,unknown,unknown,43.05063,-87.95774,24,PK,7,321,Milwaukee County,55,55079,11,dem,35,5867518
72,1.20E+11,Milwee Middle School,1201710,Seminole County School District,1/13/2006,2005-2006,2006,9:30 AM,Friday,Longwood,Florida,public,1121,1,0,1,targeted,0,m,w,SWAT officer,0,unknown,635,158,309,18,1,1,high-powered rifle,police issued,28.68172,-81.34669,76,6,8,569,Seminole County,12,12117,21,rep,30,21944577
73,5.10E+11,Indian River High School,5100810,Chesapeake City Public Schools,1/18/2006,2005-2006,2006,11:00 AM,Wednesday,Chesapeake,Virginia,public,1836,0,0,0,targeted,19,m,unknown,unknown,0,unknown,733,957,53,69,6,0,unknown,unknown,36.79721,-76.24185,126,9,12,427,Chesapeake City,51,51550,21,dem,38,8638218
74,64059009648,Will C. Wood High School,640590,Vacaville Unified,1/23/2006,2005-2006,2006,9:45 AM,Monday,Vacaville,California,public,2138,0,1,1,accidental,14,m,unknown,student,0,unknown,1271,233,394,161,27,0,small revolver,unknown,38.34635,-121.97421,85.8,9,12,398,Solano County,6,6095,23,dem,48,39613493
75,4.82E+11,Lakeview Centennial High School,4820340,Garland ISD,1/27/2006,2005-2006,2006,unknown,Friday,Garland,Texas,public,2175,0,2,2,accidental,16,m,unknown,student,0,unknown,630,755,674,108,8,0,small-caliber semiautomatic handgun,unknown,32.85566,-96.57589,157.1,9,12,994,Dallas County,48,48113,21,rep,10,29730311
76,4.22E+11,Westinghouse High School,4219170,Pittsburgh SD,2/21/2006,2005-2006,2006,7:45 AM,Tuesday,Pittsburgh,Pennsylvania,public,562,0,1,1,targeted,23,m,unknown,unknown,0,unknown,1,561,0,0,0,1,AK-47,unknown,40.4607,-79.90059,41.2,9,12,374,Allegheny County,42,42003,11,dem,28,12804123
77,4.11E+11,Roseburg High School,4110710,Douglas County SD 4,2/23/2006,2005-2006,2006,7:45 AM,Thursday,Roseburg,Oregon,public,2052,0,1,1,targeted,14,m,w,student,0,unknown,1844,12,111,45,40,1,large-caliber handgun with hollow-point bullets,unknown,43.208,-123.34712,92,8,12,689,Douglas County,41,41019,33,dem,37,4325290
78,3.20E+11,Pine Middle School,3200480,Washoe,3/14/2006,2005-2006,2006,9:00 AM,Tuesday,Reno,Nevada,public,868,0,2,2,indiscriminate,14,m,w,student,0,unknown,502,19,293,40,14,0,.38-caliber pistol,father,39.47981,-119.78186,40,7,8,286,Washoe County,32,32031,12,dem,19,3238601
79,62271003429,Venice High School,622710,Los Angeles Unified,6/5/2006,2005-2006,2006,3:10 PM,Monday,Los Angeles,California,public,3210,1,0,1,targeted,21,m,b,unknown,0,unknown,413,336,2173,269,19,0,handgun,unknown,33.99881,-118.44282,129.2,9,12,2063,Los Angeles County,6,6037,11,dem,48,39613493
